Class Comparison
Class,Present In Models
Event,"Claude, Groq"
Activity,"Claude, Gemini, Groq"
Parent,"Claude, Gemini, Groq"
CampGroup,"Claude, Gemini, Groq"
MedicalForm,"Claude, Gemini, Groq"
CampManager,Claude
Camper,"Claude, Gemini, Groq"
CampAdministrator,"Claude, Gemini, Groq"
ConsentForm,"Claude, Gemini, Groq"
CampWorker,"Claude, Gemini, Groq"
Nametag,"Claude, Gemini, Groq"
Counselor,Claude

Relationship Comparison
From,To,Label,Present In Models
CampGroup,Camper,comprises,Gemini
Parent,Camper,enrolls,Gemini
CampAdministrator,Camper,manages,Gemini
Camper,CampWorker,is_assigned_to,Groq
CampAdministrator,Event,sees,Claude
Nametag,Camper,is_for,Groq
CampAdministrator,Parent,has,Groq
Parent,ConsentForm,accesses,Gemini
CampWorker,CampGroup,is_assigned_to,Gemini
CampAdministrator,MedicalForm,has,"Claude, Groq"
CampGroup,CampWorker,has_assigned,Gemini
CampAdministrator,CampGroup,oversees,Gemini
Camper,CampGroup,is_part_of,"Gemini, Groq"
Camper,Parent,has,Groq
ConsentForm,Camper,belongs_to,Groq
Counselor,CampGroup,notified_of_events,Claude
CampAdministrator,CampWorker,notifies,Gemini
CampAdministrator,Nametag,has,Groq
Camper,Activity,participates_in,"Claude, Gemini"
CampWorker,Camper,supervises,Gemini
CampAdministrator,Parent,adds,"Claude, Gemini"
CampAdministrator,ConsentForm,has,Groq
CampAdministrator,Camper,has,Groq
CampAdministrator,Nametag,generates,Gemini
Camper,Nametag,is_identified_by,Gemini
CampWorker,CampAdministrator,reports_to,"Gemini, Groq"
Camper,MedicalForm,has,Gemini
CampAdministrator,Activity,schedules,"Claude, Gemini"
Activity,Camper,involves,Gemini
Activity,CampGroup,is_scheduled_for,Gemini
CampAdministrator,ConsentForm,uploads,"Claude, Gemini"
MedicalForm,Camper,belongs_to,Groq
CampGroup,Event,has,Groq
CampWorker,CampManager,reports_camper,Claude
Camper,ConsentForm,is_associated_with,Gemini
CampAdministrator,Camper,adds,Claude
CampAdministrator,CampGroup,sees,Claude
CampAdministrator,MedicalForm,views,Gemini
Activity,Event,has,Groq
CampAdministrator,Camper,modifies_information,Claude
CampAdministrator,Nametag,makes,Claude
CampWorker,Camper,reports_inappropriate_behavior_of,Gemini
CampWorker,Camper,is_in_charge_of,Claude
Parent,Camper,is_parent_of,Gemini
ConsentForm,Parent,belongs_to,Groq

Model Metrics
Model,Recall Classes,Precision Classes,Recall Relationships,Precision Relationships,Overlap Score,Total Score
Claude,1.000,0.833,0.289,0.385,0.600,0.648
Gemini,0.750,1.000,0.533,0.250,0.455,0.654
Groq,0.833,1.000,0.333,0.200,0.520,0.624

Best Model,Gemini
